YakeKeyWords
"['ukraine', 'kyiv', 'defence', 'part', 'military', 'city', 'zelenskiy', 'system', 'television', 'russia']"
"['johnson', 'greene', 'republican', 'ukraine', 'house', 'vote', 'party', 'speaker', 'aid', 'thing']"
"['ukraine', 'russian', 'force', 'ukrainian', 'russia', 'troop', 'minister', 'tuesday', 'president', 'nato']"
"['russian', 'ukraine', 'russia', 'ukrainian', 'ministry', 'defence', 'friday', 'foreign', 'year', 'president']"
"['trump', 'ukraine', 'hill', 'russia', 'putin', 'part', 'president', 'security', 'thought', 'aid']"
"['ukraine', 'thursday', 'attack', 'russia', 'plant', 'russian', 'military', 'region', 'power', 'war']"
"['trump', 'cameron', 'vote', 'country', 'ukraine', 'aid', 'johnson', 'american', 'package', 'foreign']"
"['cameron', 'ukraine', 'trump', 'foreign', 'republican', 'secretary', 'congress', 'office', 'putin', 'aid']"
"['region', 'ukraine', 'russia', 'russian', 'people', 'claimed', 'refinery', 'missile', 'attack', 'friday']"
"['ukraine', 'russia', 'system', 'saturday', 'defence', 'air', 'zelenskiy', 'region', 'russian', 'zaporizhzhia']"
"['troop', 'ukraine', 'macron', 'nato', 'minister', 'russia', 'europe', 'sending', 'ground', 'country']"
"['russian', 'puellomota', 'ukraine', 'military', 'massachusetts', 'national', 'image', 'rhode', 'island', 'war']"
"['ukraine', 'czech', 'country', 'shell', 'initiative', 'lipavsk', 'minister', 'russia', 'supply', 'european']"
"['russian', 'region', 'ukraine', 'sunday', 'ministry', 'drone', 'ukrainian', 'russia', 'attack', 'launched']"
"['house', 'johnson', 'ukraine', 'speaker', 'republican', 'vote', 'funding', 'member', 'aid', 'bill']"
"['aid', 'ukraine', 'bill', 'israel', 'biden', 'house', 'gaza', 'make', 'support', 'republican']"
"['ukraine', 'russia', 'ukrainian', 'region', 'kyiv', 'war', 'gmt', 'flag', 'report', 'russian']"
"['ukraine', 'russia', 'russian', 'drone', 'ukrainian', 'region', 'zelenskiy', 'defence', 'minister', 'war']"
"['government', 'economy', 'election', 'reef', 'economic', 'labour', 'plan', 'sunak', 'inflation', 'rate']"
"['people', 'year', 'number', 'inactivity', 'government', 'health', 'unemployment', 'economic', 'rising', 'market']"
"['climate', 'human', 'boyd', 'people', 'year', 'industry', 'environment', 'subsidy', 'fossil', 'fuel']"
"['seydou', 'garrone', 'boy', 'people', 'boat', 'show', 'part', 'saving', 'captain', 'join']"
"['swinney', 'minister', 'government', 'people', 'forbes', 'scotland', 'scottish', 'snp', 'independence', 'place']"
"['labour', 'reef', 'tory', 'people', 'feel', 'election', 'england', 'inflation', 'public', 'growth']"
"['economy', 'eurozone', 'quarter', 'year', 'eurozones', 'recession', 'fourth', 'growth', 'final', 'expanded']"
"['investment', 'economy', 'oecd', 'average', 'government', 'business', 'growth', 'showed', 'year', 'worker']"
"['net', 'energy', 'economy', 'report', 'investment', 'business', 'green', 'economic', 'job', 'found']"
"['bank', 'rate', 'economy', 'year', 'interest', 'cut', 'higher', 'inflation', 'expected', 'wage']"
"['people', 'labour', 'rate', 'work', 'market', 'economy', 'pay', 'recession', 'unemployment', 'growth']"
"['people', 'wellbeing', 'happiness', 'life', 'goal', 'happy', 'world', 'pound', 'spent', 'government']"
"['worker', 'law', 'minister', 'platform', 'text', 'gig', 'working', 'economy', 'million', 'uber']"
"['economy', 'reed', 'benefit', 'material', 'zerowaste', 'government', 'measure', 'business', 'environment', 'save']"
"['trump', 'biden', 'republican', 'climate', 'threat', 'change', 'bidens', 'attack', 'issue', 'support']"
"['comment', 'post', 'china', 'embassy', 'giraffe', 'deleted', 'chinese', 'weibo', 'economy', 'stock']"
"['year', 'bst', 'growth', 'rate', 'forecast', 'oecd', 'inflation', 'cut', 'economy', 'fed']"
"['economy', 'growth', 'activity', 'business', 'month', 'october', 'inflation', 'household', 'bank', 'target']"
"['russia', 'year', 'ukraine', 'war', 'economy', 'russian', 'sanction', 'country', 'bank', 'putin']"
"['growth', 'global', 'climate', 'economic', 'impact', 'shipping', 'sustainable', 'development', 'year', 'report']"
"['gambling', 'state', 'jersey', 'nera', 'online', 'economic', 'report', 'industry', 'digital', 'wage']"
"['phone', 'swift', 'mobile', 'stolen', 'show', 'amazon', 'horror', 'world', 'singer', 'police']"
"['growth', 'economy', 'remains', 'year', 'figure', 'recession', 'economic', 'household', 'living', 'january']"
"['biden', 'voter', 'trump', 'economy', 'poll', 'bidens', 'university', 'president', 'usa', 'todaysuffolk']"
"['economy', 'biden', 'moore', 'trump', 'true', 'strongest', 'state', 'strong', 'rotten', 'apple']"
"['year', 'minister', 'prime', 'level', 'sunak', 'price', 'living', 'rising', 'election', 'voter']"
